FINAL VOTE RESULTS FOR ROLL CALL 85
(Republicans in roman; Democrats in italic; Independents underlined)

      H CON RES 38      YEA-AND-NAY      5-Mar-2026      4:37 PM
      QUESTION:  On Agreeing to the Resolution
      BILL TITLE: Directing the President pursuant to section 5(c) of the War Powers Resolution to remove United States Armed Forces from unauthorized hostilities in the Islamic Republic of Iran

Yeas	Nays	PRES	NV
Gosar	Republican	Arizona	Nay
Gottheimer	Democratic	New Jersey	Yea
Graves	Republican	Missouri	Nay
Gray	Democratic	California	Yea
Green, Al (TX)	Democratic	Texas	Yea
Griffith	Republican	Virginia	Nay
Grijalva	Democratic	Arizona	Yea
Grothman	Republican	Wisconsin	Nay
Guest	Republican	Mississippi	Nay
Guthrie	Republican	Kentucky	Nay
Hageman	Republican	Wyoming	Nay
Hamadeh (AZ)	Republican	Arizona	Nay
Harder (CA)	Democratic	California	Yea
Haridopolos	Republican	Florida	Nay
Harrigan	Republican	North Carolina	Nay
Harris (MD)	Republican	Maryland	Nay
Harris (NC)	Republican	North Carolina	Nay
Harshbarger	Republican	Tennessee	Nay
Hayes	Democratic	Connecticut	Yea
Hern (OK)	Republican	Oklahoma	Nay
Higgins (LA)	Republican	Louisiana	Nay
Hill (AR)	Republican	Arkansas	Nay
Himes	Democratic	Connecticut	Yea
Hinson	Republican	Iowa	Nay
Horsford	Democratic	Nevada	Yea
Houchin	Republican	Indiana	Nay
Houlahan	Democratic	Pennsylvania	Yea
Hoyer	Democratic	Maryland	Yea
Hoyle (OR)	Democratic	Oregon	Yea
Hudson	Republican	North Carolina	Nay
Huffman	Democratic	California	Yea
Huizenga	Republican	Michigan	Nay
Hunt	Republican	Texas	Nay
Hurd (CO)	Republican	Colorado	Nay
Issa	Republican	California	Nay
Ivey	Democratic	Maryland	Yea
Jack	Republican	Georgia	Nay
Jackson (IL)	Democratic	Illinois	Yea
Jackson (TX)	Republican	Texas	Nay
Jacobs	Democratic	California	Yea
James	Republican	Michigan	Nay
Jayapal	Democratic	Washington	Yea
Jeffries	Democratic	New York	Yea
Johnson (GA)	Democratic	Georgia	Yea
Johnson (LA)	Republican	Louisiana	Nay
Johnson (SD)	Republican	South Dakota	Nay
Johnson (TX)	Democratic	Texas	Yea
Jordan	Republican	Ohio	Nay
Joyce (OH)	Republican	Ohio	Nay
Joyce (PA)	Republican	Pennsylvania	Nay
Kamlager-Dove	Democratic	California	Yea
Kaptur	Democratic	Ohio	Yea
Kean	Republican	New Jersey	Nay
Keating	Democratic	Massachusetts	Yea
Kelly (IL)	Democratic	Illinois	Yea
Kelly (MS)	Republican	Mississippi	Nay
Kelly (PA)	Republican	Pennsylvania	Nay
Kennedy (NY)	Democratic	New York	Yea
Kennedy (UT)	Republican	Utah	Nay
Khanna	Democratic	California	Yea
Kiggans (VA)	Republican	Virginia	Nay
Kiley (CA)	Republican	California	Nay
Kim	Republican	California	Nay
Knott	Republican	North Carolina	Nay
Krishnamoorthi	Democratic	Illinois	Yea
Kustoff	Republican	Tennessee	Nay
LaHood	Republican	Illinois	Nay
LaLota	Republican	New York	Nay
Landsman	Democratic	Ohio	Nay
Langworthy	Republican	New York	Nay
Larsen (WA)	Democratic	Washington	Yea
Larson (CT)	Democratic	Connecticut	Yea
Latimer	Democratic	New York	Yea
Latta	Republican	Ohio	Nay
Lawler	Republican	New York	Nay
Lee (FL)	Republican	Florida	Nay
Lee (NV)	Democratic	Nevada	Yea
Lee (PA)	Democratic	Pennsylvania	Yea
Leger Fernandez	Democratic	New Mexico	Yea
Letlow	Republican	Louisiana	Nay
Levin	Democratic	California	Yea
Liccardo	Democratic	California	Yea
Lieu	Democratic	California	Yea
Lofgren	Democratic	California	Yea
Loudermilk	Republican	Georgia	Nay
Lucas	Republican	Oklahoma	Nay
Luna	Republican	Florida	Nay
Luttrell	Republican	Texas	Nay
Lynch	Democratic	Massachusetts	Yea
Mace	Republican	South Carolina	Nay
Mackenzie	Republican	Pennsylvania	Nay
Magaziner	Democratic	Rhode Island	Yea
Malliotakis	Republican	New York	Nay
Maloy	Republican	Utah	Nay
Mann	Republican	Kansas	Nay
Mannion	Democratic	New York	Yea
Massie	Republican	Kentucky	Yea
Mast	Republican	Florida	Nay
Matsui	Democratic	California	Yea
McBath	Democratic	Georgia	Yea
McBride	Democratic	Delaware	Yea
McCaul	Republican	Texas	Nay
McClain	Republican	Michigan	Nay
McClain Delaney	Democratic	Maryland	Yea
McClellan	Democratic	Virginia	Yea
McClintock	Republican	California	Nay
McCollum	Democratic	Minnesota	Yea
McCormick	Republican	Georgia	Nay
McDonald Rivet	Democratic	Michigan	Yea
McDowell	Republican	North Carolina	Nay
McGarvey	Democratic	Kentucky	Yea
McGovern	Democratic	Massachusetts	Yea
McGuire	Republican	Virginia	Nay
McIver	Democratic	New Jersey	Yea
Meeks	Democratic	New York	Yea
Menefee	Democratic	Texas	Yea
Menendez	Democratic	New Jersey	Yea
Meng	Democratic	New York	Yea
Messmer	Republican	Indiana	Nay
Meuser	Republican	Pennsylvania	Nay
Mfume	Democratic	Maryland	Yea
Miller (IL)	Republican	Illinois	Nay
Miller (OH)	Republican	Ohio	Nay
Miller (WV)	Republican	West Virginia	Nay
Miller-Meeks	Republican	Iowa	Nay
Mills	Republican	Florida	Nay
Min	Democratic	California	Yea
Moolenaar	Republican	Michigan	Nay
Moore (AL)	Republican	Alabama	Nay
Moore (NC)	Republican	North Carolina	Nay
Moore (UT)	Republican	Utah	Nay
Moore (WI)	Democratic	Wisconsin	Yea
Moore (WV)	Republican	West Virginia	Nay
Moran	Republican	Texas	Nay
Morelle	Democratic	New York	Yea
Morrison	Democratic	Minnesota	Yea
Moskowitz	Democratic	Florida	Yea
Moulton	Democratic	Massachusetts	Yea
Mrvan	Democratic	Indiana	Yea
Mullin	Democratic	California	Yea
Murphy	Republican	North Carolina	Nay
Nadler	Democratic	New York	Yea
Neal	Democratic	Massachusetts	Yea
Neguse	Democratic	Colorado	Yea
Nehls	Republican	Texas	Nay
Newhouse	Republican	Washington	Nay
Norcross	Democratic	New Jersey	Yea
Norman	Republican	South Carolina	Nay
Nunn (IA)	Republican	Iowa	Nay
Obernolte	Republican	California	Nay
Ocasio-Cortez	Democratic	New York	Yea
Ogles	Republican	Tennessee	Nay
Olszewski	Democratic	Maryland	Yea
Omar	Democratic	Minnesota	Yea
Onder	Republican	Missouri	Nay
Owens	Republican	Utah	Nay
Pallone	Democratic	New Jersey	Yea
Palmer	Republican	Alabama	Nay
Panetta	Democratic	California	Yea
Pappas	Democratic	New Hampshire	Yea
Patronis	Republican	Florida	Nay
Pelosi	Democratic	California	Yea
Perez	Democratic	Washington	Yea
Perry	Republican	Pennsylvania	Nay
Peters	Democratic	California	Yea
Pettersen	Democratic	Colorado	Yea
Pfluger	Republican	Texas	Nay
Pingree	Democratic	Maine	Yea
Pocan	Democratic	Wisconsin	Yea
Pou	Democratic	New Jersey	Yea
Pressley	Democratic	Massachusetts	Yea
Quigley	Democratic	Illinois	Yea
Ramirez	Democratic	Illinois	Yea
Randall	Democratic	Washington	Yea
Raskin	Democratic	Maryland	Yea
Reschenthaler	Republican	Pennsylvania	Nay
Riley (NY)	Democratic	New York	Yea
Rivas	Democratic	California	Yea
Rogers (AL)	Republican	Alabama	Nay
Rogers (KY)	Republican	Kentucky	Nay
Rose	Republican	Tennessee	Nay
Ross	Democratic	North Carolina	Yea
Rouzer	Republican	North Carolina	Nay
Roy	Republican	Texas	Nay
Ruiz	Democratic	California	Yea
Rulli	Republican	Ohio	Nay
Rutherford	Republican	Florida	Nay
Ryan	Democratic	New York	Yea
Salazar	Republican	Florida	Nay
Salinas	Democratic	Oregon	Yea
Sánchez	Democratic	California	Yea
Scalise	Republican	Louisiana	Nay
Scanlon	Democratic	Pennsylvania	Yea
Schakowsky	Democratic	Illinois	Yea
Schmidt	Republican	Kansas	Nay
Schneider	Democratic	Illinois	Yea
Scholten	Democratic	Michigan	Yea
Schrier	Democratic	Washington	Yea
Schweikert	Republican	Arizona	Nay
Scott (VA)	Democratic	Virginia	Yea
Scott, Austin	Republican	Georgia	Nay
Scott, David	Democratic	Georgia	Yea
Self	Republican	Texas	Nay
Sessions	Republican	Texas	Nay
Sewell	Democratic	Alabama	Yea
Sherman	Democratic	California	Yea
Shreve	Republican	Indiana	Nay
Simon	Democratic	California	Yea
Simpson	Republican	Idaho	Nay
Smith (MO)	Republican	Missouri	Nay
Smith (NE)	Republican	Nebraska	Nay
Smith (NJ)	Republican	New Jersey	Nay
Smith (WA)	Democratic	Washington	Yea
Smucker	Republican	Pennsylvania	Nay
Sorensen	Democratic	Illinois	Yea
Soto	Democratic	Florida	Yea
Spartz	Republican	Indiana	Nay
Stansbury	Democratic	New Mexico	Yea
Stanton	Democratic	Arizona	Yea
Stauber	Republican	Minnesota	Nay
Stefanik	Republican	New York	Nay
Steil	Republican	Wisconsin	Nay
Steube	Republican	Florida	Nay
Stevens	Democratic	Michigan	Yea
Strickland	Democratic	Washington	Yea
Strong	Republican	Alabama	Nay
Stutzman	Republican	Indiana	Nay
Subramanyam	Democratic	Virginia	Yea
Suozzi	Democratic	New York	Yea
Swalwell	Democratic	California	Yea
Sykes	Democratic	Ohio	Yea
Takano	Democratic	California	Yea
Taylor	Republican	Ohio	Nay
Tenney	Republican	New York	Nay
Thanedar	Democratic	Michigan	Yea
Thompson (CA)	Democratic	California	Yea
Thompson (MS)	Democratic	Mississippi	Yea
Thompson (PA)	Republican	Pennsylvania	Nay
Tiffany	Republican	Wisconsin	Nay
Timmons	Republican	South Carolina	Nay
Titus	Democratic	Nevada	Yea
Tlaib	Democratic	Michigan	Yea
Tokuda	Democratic	Hawaii	Yea
Tonko	Democratic	New York	Yea
Torres (CA)	Democratic	California	Yea
Torres (NY)	Democratic	New York	Yea
Trahan	Democratic	Massachusetts	Yea
Tran	Democratic	California	Yea
Turner (OH)	Republican	Ohio	Nay
Underwood	Democratic	Illinois	Yea
Valadao	Republican	California	Nay
Van Drew	Republican	New Jersey	Nay
Van Duyne	Republican	Texas	Nay
Van Epps	Republican	Tennessee	Nay
Van Orden	Republican	Wisconsin	Nay
Vargas	Democratic	California	Nay
Vasquez	Democratic	New Mexico	Yea
Veasey	Democratic	Texas	Yea
Velázquez	Democratic	New York	Yea
Vindman	Democratic	Virginia	Yea
Wagner	Republican	Missouri	Nay
Walberg	Republican	Michigan	Nay
Walkinshaw	Democratic	Virginia	Yea
Wasserman Schultz	Democratic	Florida	Yea
Waters	Democratic	California	Yea
Watson Coleman	Democratic	New Jersey	Yea
Weber (TX)	Republican	Texas	Nay
Webster (FL)	Republican	Florida	Nay
Westerman	Republican	Arkansas	Nay
Whitesides	Democratic	California	Yea
Wied	Republican	Wisconsin	Nay
Williams (GA)	Democratic	Georgia	Yea
Williams (TX)	Republican	Texas	Nay
Wilson (FL)	Democratic	Florida	Yea
Wilson (SC)	Republican	South Carolina	Nay
Wittman	Republican	Virginia	Nay
Womack	Republican	Arkansas	Nay
Yakym	Republican	Indiana	Nay
Zinke	Republican	Montana	Nay
U.S. Capitol
